project,target_field,promoted_value,source_layer,source_label,source_url,notes
Retelit Avalon 3,thermal_mwt,"2,5 MWt",external_sources,Retelit | A2A Calore e Servizi | DBA Group,https://www.retelit.it/it/stampa/comunicati-stampa/2024/parte-da-avalon-3-a-milano-il-primo-progetto-in-italia-per-il-recupero-di-calore-da-data-center | https://www.a2acaloreservizi.it/it/media/comunicati-stampa/milano-primo-progetto-italia-recupero-calore-data-center | https://www.dbagroup.it/what-we-do/mci-data-center/data-center/heat-reuse-collegamento-al-teleriscaldamento-di-a2a,Potenza termica recuperabile da heat reuse Avalon 3.
Retelit Avalon 3,site_area_m2,13.000 (3.500 sup. costruita),external_sources,Avalon Campus | Retelit | A2A Calore e Servizi,https://www.avaloncampus.it/avalon3/ | https://www.retelit.it/it/stampa/comunicati-stampa/2024/parte-da-avalon-3-a-milano-il-primo-progetto-in-italia-per-il-recupero-di-calore-da-data-center | https://www.a2acaloreservizi.it/it/media/comunicati-stampa/milano-primo-progetto-italia-recupero-calore-data-center,Area complessiva Avalon Campus con superficie costruita Avalon 3 tra parentesi.
