project,developer,location,region,company,role,package,confidence,evidence,source_url,notes
CyrusOne MIL1,CyrusOne,Milano,Lombardia,Techbau,General Contractor / Design & Build,civil works / construction,100,Techbau dichiara il progetto CyrusOne MIL1 tra le proprie commesse data center,https://techbau.it/en/2026/03/26/cyrusone-mil1/,Lead confermato
Digital Realty ROM1,Digital Realty,Roma,Lazio,Techbau,EPC / General Contractor,redevelopment / construction,100,Techbau selezionata per ROM1,https://techbau.it/en/2025/12/11/techbau-selected-to-deliver-digital-realtys-rom1-data-center/,Lead confermato
DATA4 Cornaredo,DATA4,Cornaredo,Lombardia,Generale Prefabbricati,Structural / prefab contractor,civil works / structures,80,Generale Prefabbricati pubblica storia sul campus DATA4,https://gp70.generaleprefabbricatispa.com/storie/campus-data-center-data4/,Lead forte
Retelit Avalon 3,Retelit,Milano,Lombardia,DBA Group,Engineering / design,engineering / energy,60,DBA emersa come pista su Avalon / Retelit,https://www.dbagroup.it/,Da verificare
Retelit Avalon 3,Retelit,Milano,Lombardia,A2A Calore,Energy / district cooling,energy / cooling,60,A2A Calore emersa come pista su Avalon / Retelit,https://www.a2acaloreservizi.eu/,Da verificare
